Neighborhoods,Year Built,Years Vacant
Greater Ville,1885,0
Walnut Park East,1907,0
Walnut Park West,1925,0
Baden,1910,0
Mark Twain,1922,0
Wells Goodfellow,1914,0
O'Fallon,1887,0
O'Fallon,1887,0
Hamilton Heights,1905,0
Walnut Park East,1947,2
Hyde Park,0,13
Greater Ville,1915,0
Jeff Vanderlou,1910,1
Walnut Park East,1897,0
Walnut Park East,1923,0
Wells Goodfellow,1905,4
Hyde Park,1880,0
O'Fallon,1895,0
Fairground Neighborhood,1886,0
Hamilton Heights,1901,0
Walnut Park West,1913,18
Hyde Park,1893,1
Vandeventer,1884,0
Fairground Neighborhood,1895,0
Jeff Vanderlou,1904,0
Greater Ville,1911,4
Hamilton Heights,1902,0
Walnut Park East,1912,0
Jeff Vanderlou,1889,1
Greater Ville,1893,4
College Hill,1933,1
Fairground Neighborhood,1884,5
Penrose,0,0
Fairground Neighborhood,1897,0
Wells Goodfellow,1987,0
Gravois Park,1897,0
Dutchtown,1883,6
Greater Ville,1907,25
The Ville,1906,0
Fountain Park,1900,0
Lewis Place,1893,0
Academy,1893,10
Hamilton Heights,1901,5
Greater Ville,1911,0
Carondelet,1890,0
Carondelet,1900,0
Wells Goodfellow,1926,3
Jeff Vanderlou,1904,0
Academy,1897,2
Academy,1896,0
Marine Villa,1900,0
O'Fallon,1890,0
Walnut Park East,1957,5
Mark Twain,1911,0
Walnut Park West,1950,0
Greater Ville,1917,0
Hyde Park,1890,9
Dutchtown,1904,7
Gravois Park,1884,15
Marine Villa,1884,7
Hyde Park,1900,0
College Hill,1900,0
Fairground Neighborhood,1902,0
Fairground Neighborhood,1902,0
O'Fallon,1912,0
O'Fallon,1908,5
Greater Ville,1880,0
Jeff Vanderlou,1909,0
Jeff Vanderlou,1908,0
The Ville,1892,0
Vandeventer,1899,0
Vandeventer,1899,0
Fountain Park,1905,1
Hamilton Heights,1904,0
Hamilton Heights,1891,0
West End,1906,0
Penrose,1900,1
Greater Ville,1890,0
Greater Ville,1914,0
Greater Ville,1909,1
Greater Ville,1917,0
Greater Ville,1912,0
Kingsway East,1904,0
Kingsway East,1904,0
Greater Ville,1920,0
Kingsway East,1908,0
Kingsway East,1925,0
Kingsway East,1914,0
Kingsway East,1908,4
Kingsway East,1908,4
Vandeventer,1893,0
Jeff Vanderlou,1908,0
Lewis Place,1897,0
Mark Twain,1934,0
Walnut Park East,1896,6
Greater Ville,1908,0
Greater Ville,1910,0
Greater Ville,1906,0
Walnut Park East,1909,4
Wells Goodfellow,1910,0
Wells Goodfellow,1911,0
Mark Twain,1921,0
Walnut Park East,1922,0
Mark Twain,1924,0
Penrose,1925,0
Fairground Neighborhood,1906,1
Fairground Neighborhood,1886,0
Penrose,1906,1
Walnut Park East,1924,0
Walnut Park West,1924,1
Walnut Park East,1911,0
Walnut Park East,1954,0
Baden,1915,2
Mark Twain,1909,0
Mark Twain,1909,0
Baden,1904,0
Fairground Neighborhood,1887,0
Jeff Vanderlou,1888,0
College Hill,1875,5
Dutchtown,1924,0
O'Fallon,1911,0
Greater Ville,1909,0
Greater Ville,1890,0
Kingsway East,1908,0
Kingsway West,1914,1
Jeff Vanderlou,1907,0
Walnut Park East,1917,0
Walnut Park West,1925,0
Walnut Park East,1923,0
Fairground Neighborhood,1895,0
Greater Ville,1885,0
Walnut Park East,1897,0
Walnut Park East,1947,0
Baden,1956,0
Marine Villa,1890,0
Fountain Park,1896,1
Hamilton Heights,1895,0
Kingsway East,1904,4
Academy,1894,4
Penrose,1925,0
Walnut Park East,1923,0
Walnut Park East,1929,15
Hyde Park,1896,0
Hyde Park,1924,11
Walnut Park East,1928,1
Wells Goodfellow,1987,0
Wells Goodfellow,1987,0
Greater Ville,1909,2
Greater Ville,1906,0
The Ville,1886,13
Vandeventer,1890,13
Covenant Blu-Grand Center,1896,2
Academy,1905,3
Hamilton Heights,1907,14
Hamilton Heights,1906,19
Hamilton Heights,1905,0
West End,1907,7
Kingsway East,1911,0
Greater Ville,1898,4
Wells Goodfellow,1908,0
Lewis Place,1887,0
Wells Goodfellow,1906,7
Wells Goodfellow,1904,0
Hamilton Heights,1906,5
College Hill,1886,2
The Ville,1902,9
Wells Goodfellow,1905,1
Jeff Vanderlou,1908,0
Mount Pleasant,1917,0
College Hill,1883,0
Hyde Park,1889,9
Visitation Park,1895,5
Vandeventer,1891,0
Academy,1902,0
Academy,1895,13
Academy,1895,13
Hamilton Heights,1900,1
Hamilton Heights,1910,0
Lewis Place,1893,0
Hamilton Heights,1900,0
Hamilton Heights,1900,0
Lewis Place,1913,0
Gravois Park,1912,0
O'Fallon,1897,4
O'Fallon,1897,4
Hamilton Heights,1909,0
Gravois Park,1885,0
Hyde Park,1888,9
Hyde Park,1914,0
Hyde Park,1911,0
O'Fallon,1897,0
O'Fallon,1900,8
O'Fallon,1926,1
O'Fallon,1907,20
Greater Ville,1906,4
Jeff Vanderlou,1905,0
Jeff Vanderlou,1911,4
Greater Ville,1899,0
Vandeventer,1896,0
Fountain Park,1900,0
Kingsway East,1908,0
Academy,1893,14
Academy,1893,14
Hamilton Heights,1909,0
Hamilton Heights,1906,0
West End,1920,0
Hamilton Heights,1904,4
Penrose,1927,0
Penrose,1900,8
Greater Ville,1908,0
Greater Ville,1914,0
Kingsway East,1915,0
Kingsway East,1905,0
Kingsway East,1891,0
Kingsway East,1904,4
Kingsway East,1904,0
Mark Twain,1921,0
Mark Twain,1916,0
Walnut Park East,1926,8
Walnut Park East,1922,0
Mark Twain,1919,0
Walnut Park East,1927,0
Jeff Vanderlou,1972,0
Jeff Vanderlou,1884,3
Wells Goodfellow,1906,1
Mark Twain,1903,0
Mark Twain,1910,0
Walnut Park East,1922,3
Walnut Park East,1929,1
Walnut Park East,1905,0
Walnut Park East,1923,9
Walnut Park East,1913,1
Walnut Park West,1927,0
Walnut Park East,1930,0
Walnut Park East,1960,0
Walnut Park East,1910,0
Walnut Park East,1906,0
Walnut Park East,1908,0
Walnut Park East,1922,0
Walnut Park East,1923,0
Walnut Park East,1919,1
Baden,1929,0
Baden,1902,0
Baden,1923,7
Baden,1949,0
Dutchtown,1895,0
Jeff Vanderlou,1887,0
Fairground Neighborhood,1910,2
College Hill,1900,8
O'Fallon,1910,0
The Ville,1906,0
Penrose,1924,0
Greater Ville,1916,0
Greater Ville,1923,7
Kingsway East,1908,1
Kingsway East,1906,3
Hamilton Heights,1906,0
Mark Twain,1924,6
Walnut Park East,1927,0
Walnut Park East,1923,5
Hyde Park,1885,8
Hyde Park,1870,11
Greater Ville,1896,3
Hamilton Heights,1906,1
Kingsway West,1900,0
Wells Goodfellow,1897,1
Walnut Park East,1920,0
Fairground Neighborhood,1909,5
Walnut Park East,1924,0
Greater Ville,1902,0
Jeff Vanderlou,1904,4
Visitation Park,1907,0
Fairground Neighborhood,1908,19
College Hill,1860,5
The Ville,1910,4
The Ville,1911,1
Vandeventer,1899,9
Fountain Park,1903,12
Hamilton Heights,1911,0
West End,1908,7
Wells Goodfellow,1896,5
Academy,1898,10
Academy,1898,15
Greater Ville,1908,0
Wells Goodfellow,1908,4
Wells Goodfellow,1906,2
Mark Twain,1910,2
Hamilton Heights,1900,8
Hamilton Heights,1901,8
West End,1909,12
Jeff Vanderlou,1904,0
Baden,1906,0
St. Louis Place,1882,0
Fairground Neighborhood,1908,15
Greater Ville,1911,2
Hamilton Heights,1905,0
Hamilton Heights,1905,0
Hamilton Heights,1908,0
Hamilton Heights,1904,1
Greater Ville,1919,0
Greater Ville,1906,23
Wells Goodfellow,1912,7
Walnut Park East,1922,0
Carondelet,1893,2
Mark Twain,1910,0
Walnut Park East,1922,0
Walnut Park East,1919,2
Walnut Park East,1915,4
Baden,1904,0
Penrose,1924,0
Marine Villa,1884,4
Hamilton Heights,1904,1
Wells Goodfellow,1926,0
Walnut Park West,1939,0
College Hill,1902,5
Baden,1925,0
Wells Goodfellow,1906,1
Walnut Park East,1911,0
Lewis Place,1894,6
Walnut Park East,1925,12
Fountain Park,1885,11
Lewis Place,1889,6
Mark Twain,1913,2
The Ville,1883,4
Greater Ville,1908,4
Greater Ville,1901,4
Greater Ville,1886,1
Greater Ville,1897,3
Penrose,1925,1
Wells Goodfellow,1904,1
Wells Goodfellow,1909,2
Kingsway East,1910,3
Walnut Park West,1929,3
Walnut Park East,1909,8
The Ville,1892,4
Mark Twain,1908,5
Baden,1912,13
Walnut Park West,1927,5
The Ville,1890,5
O'Fallon,1890,17
Walnut Park East,1911,3
Walnut Park West,1912,1
Greater Ville,1905,16
Lewis Place,1906,9
Lewis Place,1887,6
Fairground Neighborhood,1891,6
Walnut Park East,1931,2
Walnut Park East,1911,6
Walnut Park East,1924,8
Greater Ville,1909,7
Covenant Blu-Grand Center,1896,13
Academy,1905,8
Academy,1905,9
Greater Ville,1909,2
Penrose,1906,2
Lewis Place,1902,6
Lewis Place,1906,4
Walnut Park West,1936,4
Baden,1904,11
Baden,1904,11
The Ville,1900,13
The Ville,1890,9
Greater Ville,1906,16
Hyde Park,1891,6
Academy,1892,13
Wells Goodfellow,1911,8
Jeff Vanderlou,1904,6
College Hill,1885,18
Fairground Neighborhood,1884,6
Fairground Neighborhood,1926,23
Academy,1900,11
Greater Ville,1909,15
Hyde Park,1884,26
Wells Goodfellow,1926,8
Greater Ville,1894,20
Covenant Blu-Grand Center,1895,6
Mark Twain,1970,7
Mark Twain,1970,7
College Hill,1898,13
Fairground Neighborhood,1897,17
Fairground Neighborhood,1906,7
Kingsway West,1910,7
Penrose,1914,13
Fairground Neighborhood,1900,12
Walnut Park West,1927,11
Baden,1923,17
Walnut Park East,1928,8
Penrose,1904,22
Kingsway East,1906,23
Jeff Vanderlou,1889,10
West End,1901,20
Greater Ville,1880,13
Greater Ville,1880,13
North Riverfront,1902,12
Hyde Park,1894,14
O'Fallon,1907,14
Hyde Park,1898,11
College Hill,1883,6
Mount Pleasant,1898,5
College Hill,1911,24
Fairground Neighborhood,1899,16
Jeff Vanderlou,1910,6
Jeff Vanderlou,1898,7
Greater Ville,1905,7
Greater Ville,1900,8
The Ville,1891,5
The Ville,1889,24
Greater Ville,1904,3
The Ville,1908,3
The Ville,1907,7
The Ville,1911,17
The Ville,1908,7
The Ville,1908,7
The Ville,1895,13
The Ville,1905,12
The Ville,1891,5
The Ville,1895,18
The Ville,1912,12
The Ville,1884,5
Greater Ville,1905,7
Greater Ville,1892,12
Greater Ville,1893,8
Vandeventer,1895,10
Fountain Park,1893,5
Lewis Place,1899,8
Lewis Place,1906,5
Fountain Park,1911,5
Academy,1892,8
Hamilton Heights,1904,9
Hamilton Heights,1902,7
Hamilton Heights,1905,3
Hamilton Heights,1901,16
Hamilton Heights,1911,12
Hamilton Heights,1911,12
Hamilton Heights,1911,10
Hamilton Heights,1911,9
Hamilton Heights,1904,8
Hamilton Heights,1904,8
West End,1899,11
West End,1898,28
Hamilton Heights,1911,11
Greater Ville,1924,6
Greater Ville,1909,12
Wells Goodfellow,1903,1
Wells Goodfellow,1911,18
Academy,1901,5
Lewis Place,1906,6
Academy,1905,2
Academy,1905,17
Academy,1901,8
The Ville,1890,10
The Ville,1884,9
Greater Ville,1888,4
O'Fallon,1972,17
Wells Goodfellow,1911,19
Wells Goodfellow,1901,12
Wells Goodfellow,1908,12
Wells Goodfellow,1908,4
College Hill,1884,21
Hyde Park,1895,6
The Ville,1908,5
Lewis Place,1907,6
Greater Ville,1927,6
Wells Goodfellow,1907,7
Wells Goodfellow,1925,9
Wells Goodfellow,1905,19
Jeff Vanderlou,1884,21
West End,1893,15
Academy,1893,3
West End,1898,18
Hamilton Heights,1905,7
West End,1895,15
Greater Ville,1930,18
Academy,1897,8
West End,1896,12
Greater Ville,1885,14
O'Fallon,1902,9
Walnut Park East,1930,5
Baden,1909,1
O'Fallon,1884,11
O'Fallon,1884,11
Walnut Park East,1937,4
Mark Twain,1910,3
Greater Ville,1900,7
Mark Twain,1924,5
Jeff Vanderlou,1908,10
Hyde Park,1890,29
Hyde Park,1873,12
Hyde Park,1912,11
Hyde Park,1905,1
Hyde Park,1913,12
Hyde Park,1909,6
Hyde Park,1903,22
Hyde Park,1899,9
Hyde Park,1925,6
Hyde Park,1893,6
College Hill,1892,9
College Hill,1900,20
Fairground Neighborhood,1908,6
Fairground Neighborhood,1909,6
Fairground Neighborhood,1893,1
Fairground Neighborhood,1905,5
Fairground Neighborhood,1912,17
Fairground Neighborhood,1911,1
O'Fallon,1910,2
O'Fallon,1913,2
Greater Ville,1898,2
Greater Ville,1911,5
Jeff Vanderlou,1906,4
Jeff Vanderlou,1906,10
Greater Ville,1897,19
Greater Ville,1897,1
Greater Ville,1895,6
Greater Ville,1898,8
Greater Ville,1907,12
Greater Ville,1912,7
Greater Ville,1912,5
Greater Ville,1947,8
The Ville,1887,4
The Ville,1904,4
The Ville,1913,1
The Ville,1891,3
The Ville,1893,6
Greater Ville,1915,3
Greater Ville,1911,5
Greater Ville,1913,8
Greater Ville,1908,5
Fountain Park,1928,6
Lewis Place,1893,10
Kingsway East,1890,7
Hamilton Heights,1908,2
Hamilton Heights,1902,7
Hamilton Heights,1909,2
Hamilton Heights,1921,2
West End,1908,2
Hamilton Heights,1908,2
Hamilton Heights,1906,6
Baden,1911,2
Baden,1902,9
Penrose,1908,2
Penrose,1925,2
Penrose,1906,2
Penrose,1917,2
Penrose,1929,2
O'Fallon,1909,2
Greater Ville,1923,14
Greater Ville,1905,8
Greater Ville,1911,3
Greater Ville,1911,1
Greater Ville,1916,4
Greater Ville,1898,3
Greater Ville,1897,3
Greater Ville,1909,24
Kingsway East,1908,15
Kingsway East,1908,15
Kingsway East,1907,6
Kingsway East,1908,2
Kingsway East,1903,7
Kingsway East,1924,6
Kingsway West,1910,5
Wells Goodfellow,1895,9
Wells Goodfellow,1910,2
Wells Goodfellow,1904,3
Wells Goodfellow,1916,7
Wells Goodfellow,1930,11
Wells Goodfellow,1908,2
Wells Goodfellow,1926,4
Academy,1902,7
Vandeventer,1894,9
Kingsway East,1907,3
Mark Twain,1923,1
Walnut Park East,1926,8
Walnut Park East,1919,3
Mark Twain,1893,10
Greater Ville,1922,7
Greater Ville,1922,7
Greater Ville,1910,3
Wells Goodfellow,1910,2
Wells Goodfellow,1911,8
Wells Goodfellow,1903,4
Baden,1912,1
Baden,1924,8
Kingsway West,1908,9
Walnut Park East,1929,6
Walnut Park East,1920,12
Walnut Park East,1916,3
Walnut Park East,1953,3
Walnut Park West,1927,5
Walnut Park West,1953,9
Walnut Park East,1921,7
Walnut Park East,1921,7
Walnut Park East,1925,8
Wells Goodfellow,1925,2
The Ville,1885,5
Baden,1900,9
Baden,1924,5
Penrose,1906,7
Penrose,1905,6
Penrose,1900,7
Greater Ville,1891,7
Wells Goodfellow,1910,6
Wells Goodfellow,1923,8
O'Fallon,1891,2
Mark Twain,1909,5
Mark Twain,1909,2
Mark Twain,1910,20
Walnut Park East,1913,3
Walnut Park East,1922,14
Walnut Park East,1901,2
Wells Goodfellow,1923,2
Wells Goodfellow,1905,6
Baden,1903,13
Walnut Park East,1909,2
Walnut Park East,1921,2
Wells Goodfellow,1908,12
Baden,1907,13
Walnut Park East,1909,7
Walnut Park East,1908,1
Walnut Park East,1924,2
Walnut Park West,1923,14
Walnut Park West,1954,2
Walnut Park East,1912,16
Baden,1949,7
Baden,1907,18
Baden,1929,6
Baden,1929,6
Walnut Park West,1925,5
Mark Twain,1911,8
Walnut Park East,1912,2
Walnut Park East,1916,3
Walnut Park East,1912,3
Penrose,1926,2
Penrose,1926,2
Mark Twain,1926,3
Mark Twain,1910,12
Mark Twain,1924,2
Walnut Park East,1923,3
Walnut Park East,1909,3
Walnut Park West,1925,1
Walnut Park East,1911,7
College Hill,1873,19
O'Fallon,1908,2
O'Fallon,1909,5
Greater Ville,1911,4
Greater Ville,1908,7
West End,1902,17
Greater Ville,1911,3
Greater Ville,1909,6
Greater Ville,1909,6
Greater Ville,1922,1
Greater Ville,1911,3
Greater Ville,1892,19
Greater Ville,1892,19
Greater Ville,1909,5
Mark Twain,1940,5
Walnut Park East,1923,2
Mark Twain,1912,3
Walnut Park West,1908,3
Walnut Park East,1925,8
Walnut Park East,1927,3
Mark Twain,1925,2
Penrose,1905,2
Wells Goodfellow,1898,9
Walnut Park East,1907,15
Mark Twain,1924,1
Baden,1924,4
Baden,1903,8
Hyde Park,1880,15
College Hill,1904,12
Greater Ville,1897,10
Academy,1892,5
Academy,1894,4
Hamilton Heights,1894,3
Hamilton Heights,1905,2
Penrose,1932,1
Greater Ville,1911,6
Greater Ville,1910,2
Kingsway East,1909,4
Kingsway East,1897,18
Kingsway East,1895,13
Academy,1892,5
Academy,1897,9
Academy,1897,7
Jeff Vanderlou,1909,4
Jeff Vanderlou,1905,6
Greater Ville,1884,6
Penrose,1916,1
Walnut Park West,1908,22
Walnut Park West,1908,13
Walnut Park East,1907,10
Greater Ville,1890,8
Kingsway East,1894,3
Lewis Place,1891,5
Walnut Park East,1924,3
Walnut Park West,1951,19
Hyde Park,1890,11
The Ville,1900,7
Greater Ville,1887,11
Hamilton Heights,1917,3
West End,1906,2
Wells Goodfellow,1920,8
Wells Goodfellow,1923,16
Wells Goodfellow,1951,14
College Hill,1883,6
The Ville,1897,20
Walnut Park East,1916,3
College Hill,1895,21
College Hill,1895,21
Wells Goodfellow,1910,21
Wells Goodfellow,1900,16
The Ville,1892,17
Greater Ville,1885,10
Greater Ville,1903,7
Greater Ville,1895,25
Greater Ville,1925,7
Jeff Vanderlou,1880,7
Hyde Park,1890,24
Hyde Park,1907,23
College Hill,1911,13
College Hill,1911,13
College Hill,1883,25
College Hill,1911,20
Fairground Neighborhood,1910,7
O'Fallon,1913,13
Greater Ville,1892,10
Greater Ville,1928,10
Jeff Vanderlou,1917,7
Jeff Vanderlou,1893,8
Greater Ville,1910,8
Greater Ville,1895,12
Greater Ville,1895,5
Greater Ville,1910,7
Greater Ville,1907,11
The Ville,1908,3
Greater Ville,1907,16
Greater Ville,1906,9
Greater Ville,1906,7
The Ville,1897,16
The Ville,1909,8
The Ville,1905,16
The Ville,1904,11
The Ville,1921,2
The Ville,1896,20
The Ville,1888,18
The Ville,1883,10
The Ville,1884,7
The Ville,1891,11
The Ville,1898,10
The Ville,1898,10
Greater Ville,1954,9
Greater Ville,1883,10
Greater Ville,1903,20
Greater Ville,1908,18
Greater Ville,1905,11
Greater Ville,1890,7
Greater Ville,1900,11
Greater Ville,1892,20
Vandeventer,1883,9
Vandeventer,1883,9
Vandeventer,1890,16
Vandeventer,1899,11
Vandeventer,1891,7
Covenant Blu-Grand Center,1888,5
Vandeventer,1900,11
Vandeventer,1888,9
Fountain Park,1899,5
Fountain Park,1892,5
Fountain Park,1892,14
Lewis Place,1891,12
Lewis Place,1891,7
Lewis Place,1899,3
Lewis Place,1903,9
Lewis Place,1903,3
Lewis Place,1907,24
Lewis Place,1907,14
Lewis Place,1904,17
Academy,1903,11
Academy,1895,10
Academy,1899,9
Academy,1903,2
Academy,1904,18
Academy,1889,1
Academy,1891,9
Hamilton Heights,1906,8
Hamilton Heights,1906,9
Hamilton Heights,1906,2
Hamilton Heights,1909,3
Hamilton Heights,1904,6
Hamilton Heights,1907,13
Hamilton Heights,1905,21
Hamilton Heights,1895,3
Hamilton Heights,1908,7
Hamilton Heights,1908,2
Hamilton Heights,1898,9
Hamilton Heights,1894,3
Hamilton Heights,1903,3
Academy,1896,21
West End,1908,12
Hamilton Heights,1903,24
Hamilton Heights,1907,8
Hamilton Heights,1907,15
Hamilton Heights,1900,3
Hamilton Heights,1908,3
Hamilton Heights,1925,14
Hamilton Heights,1923,10
Hamilton Heights,1923,17
Hamilton Heights,1911,19
Hamilton Heights,1903,17
Hamilton Heights,1904,13
Hamilton Heights,1892,20
Hamilton Heights,1906,9
Hamilton Heights,1906,6
Hamilton Heights,1906,9
Hamilton Heights,1906,8
Hamilton Heights,1906,15
Hamilton Heights,1907,7
Hamilton Heights,1907,3
West End,1905,12
West End,1905,12
West End,1908,11
West End,1909,7
Hamilton Heights,1909,1
Hamilton Heights,1908,3
Hamilton Heights,1910,9
Hamilton Heights,1910,14
Hamilton Heights,1927,15
Greater Ville,1917,8
Greater Ville,1916,6
Greater Ville,1912,7
Greater Ville,1929,8
Wells Goodfellow,1904,8
Wells Goodfellow,1908,9
Wells Goodfellow,1908,9
Wells Goodfellow,1908,8
Wells Goodfellow,1908,14
Wells Goodfellow,1908,5
Wells Goodfellow,1925,15
Wells Goodfellow,1905,2
Wells Goodfellow,1905,4
Wells Goodfellow,1926,19
Wells Goodfellow,1926,11
Wells Goodfellow,1905,11
Lewis Place,1894,1
Lewis Place,1893,8
Wells Goodfellow,1895,13
Wells Goodfellow,1902,13
Wells Goodfellow,1926,10
Wells Goodfellow,1907,11
Wells Goodfellow,1899,23
Wells Goodfellow,1925,15
Wells Goodfellow,1910,5
Wells Goodfellow,1915,17
Wells Goodfellow,1901,12
Wells Goodfellow,1924,17
Wells Goodfellow,1906,21
Wells Goodfellow,1908,12
Wells Goodfellow,1909,11
Wells Goodfellow,1899,18
Jeff Vanderlou,1899,10
Greater Ville,1908,7
Greater Ville,1908,8
Greater Ville,1913,12
Hamilton Heights,1907,8
Hamilton Heights,1907,14
Hamilton Heights,1910,5
Hamilton Heights,1908,6
Wells Goodfellow,1911,5
Wells Goodfellow,1920,13
Wells Goodfellow,1926,12
Fairground Neighborhood,1901,13
Greater Ville,1947,24
The Ville,1891,25
The Ville,1893,15
Greater Ville,1904,14
Greater Ville,1894,12
Wells Goodfellow,1892,10
Wells Goodfellow,1893,12
Wells Goodfellow,1906,8
Wells Goodfellow,1920,6
Wells Goodfellow,1907,12
Wells Goodfellow,1907,2
Wells Goodfellow,1905,9
Wells Goodfellow,1904,10
Wells Goodfellow,1903,7
Wells Goodfellow,1904,11
Walnut Park West,1910,7
Walnut Park East,1909,3
Hyde Park,1889,20
Jeff Vanderlou,1900,7
The Ville,1893,5
Greater Ville,1907,7
The Ville,1908,5
The Ville,1896,15
Vandeventer,1890,14
Vandeventer,1890,13
Academy,1905,9
Academy,1905,9
Academy,1899,10
Wells Goodfellow,1910,10
Wells Goodfellow,1907,6
Greater Ville,1909,12
Wells Goodfellow,1924,2
Academy,1901,14
Patch,1890,14
Hyde Park,1895,24
Hyde Park,1893,28
College Hill,1897,20
Greater Ville,1895,16
The Ville,1926,24
Greater Ville,1895,12
Greater Ville,1890,26
Fountain Park,1896,23
Lewis Place,1897,6
Lewis Place,1889,13
Lewis Place,1892,7
Lewis Place,1895,18
Academy,1892,9
Academy,1892,9
Academy,1894,10
Academy,1894,13
Academy,1891,8
Hamilton Heights,1897,7
Hamilton Heights,1895,6
West End,1908,8
West End,1908,8
Hamilton Heights,1898,5
Hamilton Heights,1901,9
Hamilton Heights,1904,8
West End,1902,17
West End,1909,13
West End,1899,26
West End,1906,5
Hamilton Heights,1902,7
West End,1891,8
Lewis Place,1890,18
Lewis Place,1898,14
Academy,1892,6
Academy,1898,16
West End,1896,27
Wells Goodfellow,1895,19
Academy,1895,16
Greater Ville,1902,8
The Ville,1883,13
Wells Goodfellow,1904,12
Wells Goodfellow,1892,14
O'Fallon,1900,12
Greater Ville,1895,7
Walnut Park East,1950,8
Walnut Park East,1919,2
Baden,1913,6
Walnut Park West,1950,9
O'Fallon,1883,12
Fairground Neighborhood,1911,9
Fairground Neighborhood,1891,6
Fairground Neighborhood,1895,17
Fairground Neighborhood,1900,9
Benton Park West,1892,8
Jeff Vanderlou,1905,17
Jeff Vanderlou,1898,17
Jeff Vanderlou,1908,22
Hyde Park,1892,10
Hyde Park,1910,23
Hyde Park,1914,17
Hyde Park,1946,10
Hyde Park,1946,10
Hyde Park,1906,26
Fairground Neighborhood,1923,6
Fairground Neighborhood,1922,8
College Hill,1898,17
College Hill,1886,6
College Hill,1904,8
Hyde Park,1911,12
Hyde Park,1913,12
Hyde Park,1925,6
College Hill,1926,6
College Hill,1907,1
College Hill,1890,6
Academy,1905,7
Fairground Neighborhood,1926,9
College Hill,1908,17
Fairground Neighborhood,1905,4
Fairground Neighborhood,1905,6
College Hill,1900,10
College Hill,1900,10
College Hill,1904,16
College Hill,1903,11
Fairground Neighborhood,1909,17
Fairground Neighborhood,1902,6
Fairground Neighborhood,1912,1
O'Fallon,1897,26
O'Fallon,1897,26
O'Fallon,1912,2
O'Fallon,1911,3
Penrose,1927,13
Penrose,1907,15
O'Fallon,1905,7
O'Fallon,1908,5
O'Fallon,1911,9
O'Fallon,1908,9
O'Fallon,1908,5
O'Fallon,1906,1
Greater Ville,1898,3
Greater Ville,1924,8
Greater Ville,1911,12
Greater Ville,1915,8
Jeff Vanderlou,1905,6
Jeff Vanderlou,1905,18
Jeff Vanderlou,1905,10
Jeff Vanderlou,1907,14
Jeff Vanderlou,1910,6
Greater Ville,1908,7
Greater Ville,1905,5
Greater Ville,1895,14
Greater Ville,1895,9
Greater Ville,1900,8
Greater Ville,1911,7
Greater Ville,1905,8
Greater Ville,1898,7
Greater Ville,1911,8
Greater Ville,1906,7
Greater Ville,1907,8
Greater Ville,1896,13
Greater Ville,1906,7
The Ville,1913,1
The Ville,1890,1
The Ville,1890,1
The Ville,1896,13
The Ville,1896,13
Greater Ville,1921,5
Greater Ville,1907,26
Greater Ville,1885,15
Greater Ville,1888,7
Greater Ville,1909,6
Fountain Park,1892,7
Fountain Park,1905,6
Fountain Park,1897,6
Lewis Place,1898,7
Kingsway East,1890,17
Academy,1892,9
Hamilton Heights,1904,4
Hamilton Heights,1903,2
Hamilton Heights,1922,10
Hamilton Heights,1895,6
Hamilton Heights,1908,2
Hamilton Heights,1908,2
Hamilton Heights,1911,18
Hamilton Heights,1911,18
West End,1906,7
Penrose,1928,4
Penrose,1928,29
Penrose,1900,5
Penrose,1926,10
Penrose,1906,2
Penrose,1905,2
Penrose,1905,12
Penrose,1916,20
Penrose,1904,5
Penrose,1878,2
Penrose,1961,12
Penrose,1916,7
Penrose,1915,9
O'Fallon,1905,5
O'Fallon,1905,10
Greater Ville,1916,1
Greater Ville,1919,5
Greater Ville,1896,8
Greater Ville,1923,20
Kingsway East,1911,21
Kingsway East,1911,21
Greater Ville,1905,8
Greater Ville,1910,7
Greater Ville,1910,10
Greater Ville,1910,7
Greater Ville,1910,3
Greater Ville,1923,6
Greater Ville,1914,23
Greater Ville,1906,11
Greater Ville,1909,5
Kingsway East,1907,19
Kingsway East,1906,17
Kingsway East,1905,12
Kingsway East,1894,10
Kingsway East,1905,12
Kingsway East,1904,7
Kingsway East,1907,14
Kingsway East,1896,7
Kingsway East,1897,7
Kingsway East,1914,16
Kingsway East,1924,6
Kingsway East,1908,13
Kingsway East,1923,4
Kingsway East,1911,6
Kingsway East,1897,8
Kingsway East,1908,6
Kingsway East,1904,11
Kingsway West,1903,12
Kingsway West,1914,10
Kingsway West,1909,24
Kingsway West,1928,7
Kingsway West,1908,5
Kingsway West,1909,7
Wells Goodfellow,1904,17
Wells Goodfellow,1909,7
Wells Goodfellow,1911,2
Wells Goodfellow,1915,10
Wells Goodfellow,1910,12
Wells Goodfellow,1926,9
Wells Goodfellow,1905,8
Lewis Place,1895,5
Wells Goodfellow,1915,15
Academy,1902,12
Vandeventer,1892,9
O'Fallon,1910,12
Wells Goodfellow,1902,7
Wells Goodfellow,1907,3
Wells Goodfellow,1902,1
Wells Goodfellow,1912,5
Wells Goodfellow,1925,2
Wells Goodfellow,1911,7
Wells Goodfellow,1911,7
Kingsway East,1923,16
Kingsway East,1923,16
Kingsway East,1928,19
Kingsway East,1900,10
Kingsway West,1910,12
O'Fallon,1914,18
Mark Twain,1925,15
Mark Twain,1915,8
Mark Twain,1904,5
Walnut Park East,1914,1
Mark Twain,1919,7
Mark Twain,1923,7
Jeff Vanderlou,1907,10
